depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
4.877500 14.820504 15.037986 15.239397 15.239513 15.444265 15.666667
5.000000 14.981984 15.229477 15.434075 15.437297 15.643487 15.836936
5.010000 15.001920 15.249408 15.455286 15.457332 15.663518 15.857214
5.113333 15.169698 15.418953 15.632070 15.630579 15.843089 16.016866
5.216667 15.347108 15.593923 15.810605 15.803398 16.022489 16.199966
5.320000 15.544917 15.763288 15.974591 15.974036 16.194647 16.379984
5.435000 15.728030 15.935528 16.159207 16.157517 16.385124 16.574973
5.550000 15.912144 16.110931 16.350908 16.342353 16.579895 16.733976
5.665000 16.090085 16.296624 16.537294 16.527526 16.761308 16.914572
5.780000 16.276325 16.497647 16.719375 16.716937 16.945989 17.123143
5.820000 16.343744 16.568822 16.790478 16.790021 17.022313 17.189544
5.910000 16.482100 16.718621 16.951922 16.941967 17.167522 17.344676
6.000000 16.642094 16.871942 17.104077 17.097232 17.323528 17.496969
6.010000 16.671432 16.896694 17.128222 17.118958 17.344211 17.519013
6.115000 16.862589 17.095903 17.340741 17.319069 17.531044 17.752819
6.220000 17.050018 17.309854 17.532626 17.519319 17.722633 17.932011
6.330000 17.338183 17.555787 17.769845 17.762551 17.962777 18.197532
6.440000 17.649829 17.831273 18.028445 18.033783 18.216038 18.494507
6.460000 17.716919 17.890369 18.080892 18.085648 18.258405 18.534044
6.520000 17.890675 18.059536 18.236069 18.243746 18.412736 18.743752
6.540000 17.940631 18.122701 18.290035 18.299045 18.458387 18.795749
6.560000 18.000503 18.180276 18.340961 18.357954 18.531585 18.861242
6.580000 18.069519 18.233529 18.399254 18.420499 18.595123 18.927201
6.600000 18.131211 18.307688 18.462677 18.485374 18.651581 18.999165
6.620000 18.193643 18.373995 18.531355 18.554652 18.728792 19.044655
6.650000 18.341215 18.495243 18.653821 18.685762 18.872547 19.203356
6.660000 18.372418 18.531833 18.696142 18.724614 18.915117 19.244371
6.680000 18.452035 18.606194 18.798640 18.823453 19.024210 19.362961
6.740000 19.076373 19.319383 19.588745 19.589361 19.841382 20.201326
6.760000 19.159787 19.437821 19.706158 19.699232 19.948175 20.300887
6.900000 21.406652 21.755604 22.082955 22.063339 22.367836 22.681549
6.960000 22.017531 22.316204 22.715576 22.701577 23.084900 23.363864
6.980000 22.129559 22.404842 22.808272 22.796661 23.172170 23.450990
7.050000 22.960619 23.150784 23.387037 23.387467 23.636699 23.824895
7.080000 23.041295 23.271579 23.519274 23.523740 23.790139 24.004413
7.215000 23.503755 23.901283 24.415377 24.411881 24.922417 25.281041
7.350000 24.754464 25.049620 25.305864 25.292876 25.532784 25.716898
7.380000 24.879097 25.180279 25.437773 25.426113 25.673071 25.901586
7.460000 25.196187 25.514215 25.930636 25.964193 26.434964 26.876384
7.540000 25.530127 25.929243 26.496373 26.527588 27.101047 27.732587
7.580000 25.663014 26.105601 26.713084 26.731145 27.331913 27.937649
7.620000 25.802393 26.300187 26.916633 26.930638 27.520265 28.205595
7.640000 25.875760 26.402984 27.004574 27.014785 27.601091 28.252628
7.680000 26.221661 26.726402 27.245870 27.269275 27.795987 28.450235
7.700000 26.325802 26.826454 27.367726 27.365560 27.871394 28.521615
7.740000 26.780337 27.185043 27.667496 27.659993 28.096559 28.634178
7.780000 27.081175 27.493613 27.931579 27.919225 28.297018 28.768438
7.800000 27.209005 27.592624 28.016778 28.006270 28.388867 28.833167
7.820000 27.323250 27.686597 28.093795 28.090727 28.472054 28.919975
7.840000 27.413480 27.790217 28.183081 28.179154 28.550987 28.992967
7.860000 27.504295 27.904799 28.275456 28.271105 28.631239 29.059550
7.880000 27.595620 28.008525 28.369398 28.357397 28.693809 29.138788
7.920000 27.914238 28.313050 28.624467 28.606622 28.877515 29.248255
7.940000 28.034839 28.409826 28.708577 28.693213 28.954839 29.299513
7.960000 28.106499 28.509344 28.782520 28.770263 29.021675 29.367534
8.000000 28.383103 28.709876 28.936458 28.937107 29.172471 29.475887
