depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
6.655000 39.800575 40.303991 40.718331 40.765511 41.299369 41.731538
6.680000 39.906335 40.414333 40.807976 40.865410 41.401123 41.856647
6.705000 40.006985 40.489659 40.892602 40.964999 41.493725 41.951185
6.730000 40.061210 40.589770 40.973252 41.057863 41.591345 42.062236
6.755000 40.165556 40.699389 41.058501 41.153445 41.683355 42.202330
6.780000 40.226499 40.792916 41.149891 41.247870 41.796334 42.374698
6.805000 40.334790 40.873541 41.242084 41.344877 41.910656 42.467890
6.830000 40.431953 40.948693 41.339286 41.439017 42.033584 42.592919
6.855000 40.495178 41.017752 41.439010 41.533221 42.144288 42.726812
6.880000 40.597994 41.102445 41.526348 41.627766 42.276623 42.899194
6.905000 40.656118 41.176886 41.615148 41.721974 42.377408 43.059905
6.930000 40.717482 41.244749 41.708724 41.815774 42.500490 43.158115
6.955000 40.795322 41.316251 41.814490 41.911938 42.652291 43.300795
6.980000 40.874002 41.394776 41.900894 42.002369 42.729802 43.424468
7.005000 40.956548 41.459456 41.971760 42.096529 42.875289 43.609524
7.030000 41.011139 41.517085 42.052634 42.188630 42.996605 43.717163
7.055000 41.099916 41.585855 42.129558 42.277085 43.109103 43.828950
7.080000 41.165166 41.652341 42.216057 42.367011 43.222748 43.922313
7.105000 41.229565 41.731321 42.289846 42.456253 43.324851 44.022930
7.130000 41.300014 41.800737 42.368973 42.546671 43.452003 44.164647
7.155000 41.393888 41.868657 42.444595 42.634140 43.537211 44.283252
7.180000 41.467879 41.948270 42.538965 42.722830 43.645963 44.437429
7.205000 41.556668 42.011910 42.626703 42.810363 43.787442 44.546079
7.230000 41.609060 42.086594 42.723334 42.900065 43.903667 44.707948
7.255000 41.718809 42.171504 42.811050 42.989509 43.981390 44.815073
7.280000 41.813241 42.246857 42.904617 43.077759 44.081413 44.948153
7.305000 41.881719 42.319567 42.975264 43.164737 44.159318 45.088565
7.330000 41.978687 42.397925 43.065556 43.254659 44.240673 45.239174
7.355000 42.080144 42.487328 43.152092 43.344759 44.349636 45.330720
7.380000 42.173476 42.564915 43.233105 43.435426 44.433504 45.439455
7.405000 42.292110 42.651808 43.341014 43.525941 44.523250 45.548337
7.430000 42.344777 42.749676 43.430684 43.615904 44.628357 45.661937
7.455000 42.428701 42.820859 43.502133 43.703650 44.717970 45.772998
7.480000 42.536276 42.896704 43.581576 43.792030 44.779393 45.880561
7.505000 42.623066 42.968076 43.648497 43.877955 44.861045 45.983632
